date	user	repo	forks	stars	open_issues	commits_total	commits_last	commits_first	commits_authors	commits_publish	files_rmd	files_total
2018-09-10	dewoller	wf_continuing	0	0	0	6	2018-10-30	2018-09-10	1	0	NA	152
2018-09-10	jonathandash	tekapo-shelterbelt	0	0	0	6	2018-09-17	2018-09-11	1	3	4	101
2018-09-13	Oshlack	combes-organoid-paper	0	2	0	92	2019-01-25	2018-07-30	1	3	17	573
2018-09-18	Lauren-Blake	weight_restoration	0	0	0	3	2018-11-15	2018-07-05	1	0	20	336
2018-09-20	danielschad	test_workflowr	0	0	0	5	2018-09-20	2018-09-19	1	2	5	124
2018-09-21	amrutapn	my_first_project	0	0	0	5	2018-09-21	2018-09-21	1	2	4	96
2018-09-21	CreRecombinase	my_project	0	0	0	5	2018-09-21	2018-09-21	1	2	4	96
2018-09-21	jayoung95	myproject	0	0	0	6	2018-09-21	2018-09-21	1	3	4	96
2018-09-21	jballocco	my_project	0	0	0	6	2018-09-21	2018-09-21	1	4	4	93
2018-09-21	JordanJousma	example_project	0	0	0	4	2018-09-21	2018-09-21	1	1	4	97
2018-09-21	kzawieracz	mynewproject1	0	0	0	7	2018-09-21	2018-09-21	1	3	4	96
2018-09-21	lobbrabe	my_project	0	0	0	3	2018-09-21	2018-09-21	1	1	4	96
2018-09-21	qicaibiology	my_project	0	0	0	6	2018-09-21	2018-09-21	1	3	4	96
2018-09-21	sophiacarryl	workflow_project	0	0	0	12	2018-09-21	2018-09-21	1	5	5	100
2018-09-21	Wenhe-Lin	my_project	0	0	0	7	2018-09-21	2018-09-21	1	4	5	98
2018-09-21	XRCHAM	myproject	0	0	0	5	2018-09-21	2018-09-21	1	2	4	96
2018-09-23	egarcias	desigualdad_colombia	0	0	0	10	2018-09-23	2018-09-04	3	3	5	243
2018-09-23	llinaslab	sanger_rnaseq	0	0	0	18	2018-10-09	2017-03-03	2	0	18	496
2018-09-28	anthonyhung	MSTPsummerstatistics	0	0	0	6	2018-09-28	2018-09-27	1	0	4	98
2018-09-28	docmanny	workflowr-blogdown-experiment	0	0	0	22	2018-10-01	2018-09-28	2	0	3	265
2018-09-28	melsiddieg	GBM_Results	0	0	0	17	2018-10-19	2018-09-28	2	3	5	175
2018-09-28	surbut	myproject	0	0	0	39	2018-10-23	2018-09-28	2	12	5	109
2018-10-01	xhyuo	Workflowr_GBRS_array0	0	0	0	14	2018-10-11	2018-10-01	1	4	7	145
2018-10-02	stephens999	susier-investigate	0	1	0	45	2018-12-14	2018-04-14	1	22	13	174
2018-10-03	ballardtj	stim_ids	0	0	0	18	2018-12-18	2018-10-03	1	0	3	209
2018-10-03	lazappi	twitter-stats	3	0	0	22	2019-01-21	2018-10-03	2	0	7	241
2018-10-04	ballardtj	dynamic_modelling	0	0	0	55	2019-01-19	2018-10-04	2	0	3	249
2018-10-06	pzross	frameshifts	0	0	0	9	2018-11-12	2018-01-11	2	1	7	250
2018-10-07	zihao12	stat374-fall-2018	0	0	0	8	2018-11-15	2018-10-07	1	0	8	278
2018-10-11	michellemiron	Human-T-cell-CyTOF	0	0	0	16	2018-10-12	2018-10-11	2	0	5	106
2018-10-11	xhyuo	Workflowr_GBRS_array	0	0	0	56	2019-01-02	2018-10-11	1	32	11	192
2018-10-14	jean997	cause	1	1	0	85	2018-12-12	2018-10-13	2	6	4	149
2018-10-15	alaminmm331	ElectionProjectAA	0	0	0	4	2018-10-15	2018-10-15	1	2	4	103
2018-10-15	alaminmm331	ElectionProjectCD	0	0	1	4	2018-10-15	2018-10-15	1	2	4	103
2018-10-15	annakrystalli	rrtools-repro-research	0	5	4	34	2018-11-27	2018-04-09	2	10	6	121
2018-10-15	jacevedopardo	ElectionProjectCD	0	0	0	4	2018-10-15	2018-10-15	1	2	4	103
2018-10-15	JonahBKing	ElectionProjectCD	0	0	0	4	2018-10-15	2018-10-15	1	2	4	103
2018-10-15	Khadimul1980	ElectionProjectCD	0	0	0	6	2018-10-15	2018-10-15	1	3	4	96
2018-10-15	srobertson18	CD	0	0	0	5	2018-10-15	2018-10-15	1	3	4	96
2018-10-16	acharm01	ElectionProjectMA	0	0	0	4	2018-10-15	2018-10-15	1	2	4	99
2018-10-17	andrewg3311	ebnm_benchmarks	0	0	0	66	2018-11-02	2018-10-16	1	15	5	1838
2018-10-25	surbut	Kidneyproject	0	0	0	7	2018-10-24	2018-10-24	1	2	4	115
2018-10-26	PytrikFolkertsma	10x-adipocyte-analysis	0	0	0	124	2019-01-04	2018-10-26	3	46	15	363
2018-10-26	youngseok-kim	EFASH	0	0	0	13	2018-11-07	2018-10-26	2	5	5	104
2018-10-29	rsimon64	bioinfo	0	0	0	3	2018-10-29	2018-10-29	1	1	3	76
2018-10-30	charo1999	ensamblar	0	0	0	6	2018-10-30	2018-10-29	1	1	NA	98
2018-10-30	ralphramos	ensamblaje	0	0	0	1	2018-10-30	2018-10-30	1	0	3	10
2018-10-30	rosaespejo	ensamblaje2	0	0	0	5	2018-10-30	2018-10-30	1	2	4	97
2018-10-31	epacheco7	ensamblaje2	0	0	0	14	2018-10-31	2018-10-30	2	7	6	101
2018-10-31	han16	Data-Science-in-R	0	0	0	34	2018-11-15	2018-10-26	2	0	16	332
2018-10-31	jcalderonv	ensamblaje2	0	0	0	5	2018-10-30	2018-10-30	1	2	3	78
2018-10-31	Mabelvac	ensamblaje	0	0	0	16	2018-10-30	2018-10-29	1	6	6	103
2018-10-31	PatBall1	Ashaninka_monitoring	0	0	0	26	2019-01-02	2018-10-31	1	13	4	100
2018-10-31	robertomansilla	ensamblaje2	0	0	0	6	2018-10-30	2018-10-30	1	2	3	77
2018-10-31	rsimon64	ensamblaje2	1	0	0	17	2018-10-31	2018-10-30	1	7	7	110
2018-11-03	zihao12	finm331-fall-2018	0	0	0	3	2018-11-03	2018-11-03	1	0	4	108
2018-11-08	courtneyschiffman	Drug_Repo	0	0	0	56	2018-12-08	2018-11-07	3	7	5	145
2018-11-10	dewoller	door_pix_recognize	0	0	0	22	2018-11-20	2018-11-11	1	0	14	106
2018-11-13	DongyueXie	stat349	0	0	0	19	2018-12-09	2018-10-17	1	9	8	107
2018-11-16	jhsiao999	singlecell-viz	0	0	0	23	2018-11-27	2018-11-15	2	8	9	112
2018-11-16	ssoba	lake_powell	0	0	0	28	2018-12-19	2018-11-15	2	1	10	120
2018-11-18	jasonbaik94	myproject	0	0	0	5	2018-11-18	2018-11-18	1	2	4	96
2018-11-20	simingz	cropseq	0	0	0	22	2018-12-17	2018-11-19	2	1	11	148
2018-11-21	annakrystalli	git-github-intro	1	0	2	16	2018-12-03	2018-11-21	4	0	7	41
2018-11-25	timtrice	hurricane_harvey_prelims	0	0	0	9	2018-11-25	2017-10-29	1	0	3	18
2018-12-01	tamdrashtri	data-analysis-final-project	0	0	0	17	2019-01-20	2018-12-01	2	0	5	114
2018-12-02	timtrice	eclipse_megamovie	0	0	0	2	2018-12-02	2018-12-02	1	0	3	12
2018-12-03	andrewg3311	susieR_logistic_wflow	0	0	0	51	2018-12-08	2018-12-03	1	26	4	137
2018-12-05	dcgerard	orderEDA	0	0	0	8	2018-12-05	2018-12-05	1	0	4	98
2018-12-05	LSun	cashr_paper	0	0	0	60	2018-12-28	2018-12-04	3	18	11	114
2018-12-06	heqixin	var_functionalDiff	0	0	0	34	2019-01-09	2018-12-06	1	17	4	97
2018-12-07	KristinaRiemer	wflow_test	0	0	0	5	2018-12-07	2018-12-06	1	2	4	94
2018-12-08	jasonbaik94	playoff_score_effect_site	0	1	0	13	2018-12-11	2018-12-08	1	6	5	133
2018-12-13	courtneyschiffman	CourtneySchiffman	0	0	0	13	2018-12-13	2018-12-13	1	6	5	100
2018-12-14	BUStools	BUS_notebooks_R	0	2	0	38	2018-12-19	2018-12-14	1	16	NA	121
2018-12-14	dewoller	tenyear	0	0	0	2	2018-12-15	2018-12-05	1	0	4	88
2018-12-18	ChiChunLiu	myproject	0	0	0	2	2018-12-18	2018-12-18	1	1	3	73
2018-12-20	zouyuxin	GTEx	0	0	0	80	2019-01-28	2018-12-20	4	26	6	169
2018-12-22	huangyh09	vireo-manual	0	0	0	4	2019-01-17	2018-12-22	1	1	5	91
2018-12-26	scottzijiezhang	MeRIPtoolsManual	0	0	0	20	2018-12-27	2018-12-01	1	9	6	99
2018-12-27	LSun	OracleBayesMT	0	0	0	26	2019-01-19	2018-12-27	2	12	6	144
2019-01-07	dewoller	australia_opioids	0	0	0	40	2019-01-25	2019-01-07	2	5	9	180
2019-01-07	jean997	ptb	0	0	0	9	2019-01-07	2019-01-06	1	4	5	103
2019-01-10	lazappi	phd-thesis-analysis	0	0	0	9	2019-01-25	2019-01-10	1	0	6	257
2019-01-11	timtrice	connors_rsi	0	0	0	51	2018-10-01	2018-09-09	1	0	10	30
2019-01-12	parajago	TCGA-Nigerian-RNAseq	0	0	0	26	2019-01-23	2019-01-12	2	0	4	125
2019-01-14	KaiqianZhang	susie-np	0	0	0	23	2019-01-28	2019-01-14	1	11	8	132
2019-01-14	kkdey	CorShrink2	0	0	0	8	2019-01-23	2019-01-14	2	0	19	202
2019-01-15	zouyuxin	dsc-susie-z	0	0	0	36	2019-01-18	2019-01-15	2	9	6	140
2019-01-19	KaiqianZhang	research-notes	0	0	0	20	2019-01-23	2019-01-18	1	10	5	110
2019-01-24	anamariaelek	germfree-mice-RNA-analysis	0	0	0	6	2019-01-28	2019-01-24	1	0	4	217
2019-01-25	jdblischak	for-future-reference	0	0	0	11	2019-01-28	2019-01-25	1	5	8	119
2019-01-25	lo2811	IPFproject	0	0	0	5	2019-01-25	2019-01-25	1	2	4	107
2019-01-25	yasinkaymaz	Harvard-NissenLab	0	0	0	5	2019-01-25	2019-01-24	1	1	3	76
